ID;Descrição;Preço em R$
131;Placa-Mãe Oxy BR, Intel H81 LGA 1150, ATX, DDR3;R$ 275,40
132;Placa Mãe Duex Dx H510 Pro, Intel 10ª/11ª Geração, LGA1200, DDR4, Micro ATX;R$ 541,80
133;Placa-Mãe Biostar A520mh 3.0, AMD AM4, Micro ATX, DDR4;R$ 449,20
134;Placa Mãe Duex Dx H61s, Intel 2ª/3ª Geração, Lga1155, DDR3;R$ 234,90
135;Placa Mãe Msi B760m Mortar Wifi, DDR5, Micro ATX, LGA1700;R$ 1.926,90
136;Placa-Mãe BRX, Intel LGA 1150 H81, DDR3, VGA, HDMI;R$ 239,90
137;Placa-Mãe PCWare, Intel 1151, mATX, DDR4, VGA, HDMI - IPMH310G;R$ 343,83
138;Placa Mãe Msi Mag B650 Tomahawk, AM5, ATX, DDR5, Wi-Fi;R$ 2.328,90
139;Placa Mãe Placa Mãe H410m-ac, Asrock Atx, Lga1200-sockel - 90-mxbdt0-a0uayz;R$ 722,58
140;Placa Mãe Msi B450m Pro-Vdh Max, AMD AM4, Matx, DDR4, Chipset B450 - 911-7a38-063;R$ 612,79
141;Placa-Mãe Gigabyte B650 Aero G, AMD Am5, Atx, Ddr5;R$ 3.386,78
142;Placa Mãe Gigabyte Z790 Aorus Elite Ax Ice, rev 1.0,  DDR5, ATX, LGA1700;R$ 2.803,85
143;Placa Mãe Gigabyte X670 Aorus Elite AX, AMD AM5, ATX, DDR5, LED RGB, Bluetooth, Wi-Fi 6E;R$ 3.999,99
144;Placa Mãe Msi Pro B550m-p Gen3 AM4, DDR4;R$ 743,70
145;Placa-Mãe Biostar, Intel 1200 B560, 2xDDR4, HDMI e VGA, 11ª Geração - B560MHP;R$ 593,10
146;Placa-Mãe Msi Pro H510m-B, Intel LGA 1200, Matx, DDR4, M.2, VGA/HDMI, , Chipset H470 - 911-7e05-004;R$ 520,28
147;Placa Mae Reference B550-gm2, Gigabit, M.2, AMD, Am4, Matx, DDR4;R$ 765,34
148;Placa Mãe H55 Brazilpc Bpc-h55-nt Socket 1156 Rede 10/100/1000;R$ 175,00
149;Placa-Mãe Brazil PC, Intel H61 - BPC-H61C-V2.3;R$ 289,49
150;Placa Mãe X Gaming, LGA 1155 B75 DDR3, HDMI E VGA I3, I5 E I7;R$ 269,91
151;Placa-Mãe Oxy BR H310, Intel LGA 1151, DDR4;R$ 480,60
152;Placa Mãe B650 Msi Mpg Edge WIFI, AMD Am5, ATX, DDR5;R$ 2.507,90
153;Placa Mãe Gigabyte Z790m Aorus Elite, Intel 13a E 12a Geração, DDR5, LGA1700, USB Type-C, Pci-e 5.0;R$ 2.524,90
154;Placa-Mãe Biostar, Intel 1151 H310MHP, DDR4, HDMI e VGA, 9ª Geração;R$ 413,85
155;Placa Mãe Mb Keepdata B75-kdgnv Lga 1155, Giga/nvme/hdmi;R$ 188,37
156;Placa-Mãe PCWare, Intel LGA 1200, mATX, DDR4 - IPMH510G;R$ 579,90
157;Placa Mãe Asus PRIME B550M-K, AMD Socket AM4, mATX, DDR4 - 90MB14V0-M0EAY0;R$ 799,99
158;Placa Mãe Star Intel 1700 H610 M.2, 2x DDR4, HDMI, 12° Geração - H610g611;R$ 516,15
159;Placa Mae H510 Mini Itx 17x17cm,Megaview;R$ 749,00
160;Placa Mãe Asrock, AMD, B450, Chip-montagem De Micro, ATX, B450m Pro4;R$ 1.317,37
161;Placa Mãe Msi Mpg Z590 Gaming Plus, DDR4, LGA1200, ATX, Chipset Intel Z590 10ºgen;R$ 2.897,99
162;Placa Mãe Gigabyte B760M Aorus Elite AX, Intel, ATX, DDR5, Wi-Fi, Bluetooth - B760M AORUS ELITE AX;R$ 1.999,99
163;Placa-Mãe Biostar, Intel LGA 1200, ITX, HDMI e VGA, M.2 - Z490T-SILVER;R$ 2.900,00
164;Placa-Mãe Afox, Intel LGA 1155, mATX, DDR3, VGA e HDMI - H61-MA5;R$ 306,84
165;Placa Mãe Biostar B550m-silver Am4 Uatx Ab55bm4t;R$ 894,25
166;Placa Mãe Gigabyte B760 Gaming X, Intel LGA1700, ATX, DDR4;R$ 1.754,90
167;Placa-Mãe PCWare PRO R.2, Intel LGA 1151, DDR4 - IPMH310G;R$ 445,40
168;Placa Mãe Asrock H610m-hvs, Matx Lga 1700, DDR4, HDMI, VGA;R$ 480,55
169;Placa Mãe Gigabyte B760M Gaming X, Intel LGA 1700 MATX, DDR4, AX Wifi;R$ 1.572,39
170;Placa Mãe Integrada Pcware Ipx4020e, Celeron Dual Core N4020 2.8ghz, Ddr4, Hdmi, M.2 2280 - Oem;R$ 512,66
171;Placa Mae Asrock, Intel 1700 H610 2xddr4 HDMI/VGA, H610m-hdv;R$ 603,57
172;Placa-Mãe Brazil PC Mesk, Intel LGA 1155, OEM - BPC-H61M-T;R$ 364,50
173;Placa-Mãe Gigabyte B450M DS3H, AMD AM4, DDR4;R$ 989,10
174;Placa-Mãe Knup H310 2xddra4, Intel 1151, HDMI, VGA, 8/9ªG - Kp-H310;R$ 529,32
175;Placa-Mãe PCWare Integrada, Intel Celeron Dual Core N4020 2.8GHz, DDR4 SODIMM, HDMI, M.2 2280 - IPX4020E;R$ 459,90
176;Placa Mae,Biostar B450mx-s,am4,DDR4 4333 O.c, Chipset AMD B450, USB 3.2,Slot M.2,Micro ATX;R$ 800,99
177;Placa Mae Brx H55ma5;R$ 179,90
178;Placa Mãe Bluecase BMBh110-g3hgu-d4 - LGA 1151 DDR4 - Chipset Intel H110 - Slot M.2 - Micro Atx;R$ 728,99
179;Placa-Mãe Brazil PC, AMD FM2+, DDR3, VGA, HDMI, OEM - BPC-A88-F2F;R$ 558,00
180;Placa Mãe Afox, B450-ma-v2, Am4 Dr4, HDMI Vga Dvi M.2;R$ 390,51
181;Placa-Mãe AsRock, Intel Dual-Core J4005 - J4005DC-ITX;R$ 380,28
182;Placa-Mãe Gigabyte Z790 Aourus Master, Intel LGA 1700, E-ATX, DDR5, Wi-Fi, Bluetooth - Z790 Aorus Master;R$ 7.990,00
183;Placa-Mãe Afox H61, Intel LGA 1155, mATX- IH61-MA2-V3;R$ 219,90
184;Placa-Mãe Duex, Intel LGA 775 DDR3 - DX-G41Z;R$ 455,00
185;Placa Mãe Afox Ih610d4-ma-v2, Lga 1700, Ddr4 HDMI, Vga Dp M.2 Mini Pci-e;R$ 478,71
186;Placa-Mãe Asus Prime B550M-K, AMD AM4, mATX, DDR4, Slot M.2;R$ 1.529,99
187;Placa Mãe Gigabyte Z790 Gaming X AX, Intel, ATX, DDR5, Wi-Fi, Bluetooth - Z790 GAMING X AX;R$ 2.759,99
188;Placa Mãe Gigabyte B760m Aorus Elite, Intel 13a, 12a Geração, LGA1700, Micro ATX, DDR5;R$ 1.392,36
189;Placa Mãe Gigabyte AORUS Z790 PRO X, Intel, ATX, DDR5, RGB, Wi-Fi, Bluetooth - Z790 AORUS PRO X;R$ 3.399,99
190;Placa Mãe Duex Dxh110zg, M.2 Chipset, H110, Intel 1151, DDR4;R$ 521,90
191;Placa-Mãe Brazil PC, Intel LGA 1150, DDR3, Som, Ví­deo e Rede - B85M-TG;R$ 719,99
192;Placa-Mãe Afox, Intel 1150, 2xDDR3, HDMI e VGA, 4ª Geração - IH81-MA;R$ 587,10
193;Placa Mãe Asus Prime Z790m-plus D4, 1700, Ddr4, Matx, HDMI, M.2, USB 3.2;R$ 1.799,00
194;Placa-Mãe Asus Prime, Intel 11ª Geração 1200 - Z590-P;R$ 2.537,99
195;Placa-Mãe AsRock X570 Phantom Gaming 4S, AMD AM4;R$ 1.952,99
196;Placa Mãe Msi Pro B760m-p, DDR4, Chipset B760, Intel, LGA 1700, ATX, 911-7e02-001;R$ 855,90
197;Placa-Mãe Gigabyte Z790 Aero G, Intel, LGA 1700, ATX, DDR5;R$ 3.896,20
198;Placa Mãe Biostar B560mhp 2.0 M.2, DDR4, HDMI, VGA, USB;R$ 628,15
199;Placa-Mãe AsRock, Intel LGA 1151, mATX, DDR4 - H310CM-HG4;R$ 501,93
200;Placa Mãe Gigabyte Z790 Gaming X, DDR5, ATX, LGA1700;R$ 2.724,90
201;Placa Mãe Gigabyte B650m S2h, DDR5, Micro ATX Am5;R$ 1.129,90
202;Placa Mãe Pcware Bravex Ipm-b560, Intel LGA 1200, Matx, DDR4, Chipset B560;R$ 988,60
203;Placa-Mãe AsRock B450M Steel Legend, AMD AM4, mATX, DDR4;R$ 1.106,99
204;Placa Mae H510m-t Colorful M.2 V20 Intel 1200;R$ 570,42
205;Placa-Mãe BRX, Intel H81 4ª Geração LGA 1150, mATX, DDR3 Até 8GB, VGA, HDMI, USB 3.0 - IH81-MA6;R$ 555,81
206;Gigabyte Z790 Ud, LGA 1700, DDR5 7600 O.c, Chipset Z790, USB 3.2, Slot M.2, 2.5 Gbps, Micro ATX;R$ 2.249,41
207;Placa-Mãe Colorful M.2 V20, Intel 1200 - H510M-K;R$ 581,29
208;Placa-Mãe Biostar B450MH, AMD AM4, mATX, DDR4 - AB45CM4S;R$ 580,50
209;Placa-Mãe Brazil PC, AMD FM2, ATX, DDR3 - BPC-A88FM2-V2;R$ 361,46
210;Placa-Mãe Goline, Intel H81 1150, DDR3 - GL-H81-MA;R$ 549,90
211;Placa-Mãe Asus Prime, Intel H410 LGA 1200, DDR4 - H410M-K;R$ 669,81
212;Placa-Mãe Oem H61m, Intel I3/I5/I7 2ª/3ª Geração, LGA1155, DDR3;R$ 435,00
213;Placa-Mãe Brazil PC, Intel LGA 1156, 2 Slots DDR3 - BPC-H55M-V1;R$ 418,15
214;Placa-Mãe Duex DX H61Z, Intel 2ª e 3ª Geração LGA 1155, DDR3;R$ 358,20
215;Placa Mãe MB H61/B75 1155 DDR3, Rede 100/1000 Rede;R$ 319,00
216;Placa Mãe Gigabyte Z790 Aorus Elite AX, DDR4, WIFI, ATX, M.2;R$ 3.360,50
217;Placa-Mãe Asus Prime, Intel, M.2 - H510M-K;R$ 739,09
218;Placa-Mãe Gigabyte B760m Aorus Elite Ax, Intel LGA 1700, Matx, DDR5, Chipset B760;R$ 2.431,00
219;Placa-Mãe Oxy BR, Intel H110 LGA 1151, DDR4;R$ 400,80
220;Placa Mãe Gigabyte B760m Aorus Elite, DDR4, MicroATX, LGA1700;R$ 1.618,10
221;Placa-Mãe Afox, Intel H61 LGA 1155 2ª e 3ª Geração, mATX, DDR3 Até 16GB, VGA e HDMI - IH61-MA5;R$ 280,71
222;Placa-Mãe Gigabyte X670e Aorus Master, E-ATX, AMD Am5, DDR5;R$ 5.209,58
223;Placa Mãe Msi Pro B660m-a, DDR4, M.2 Lga1700, Wi-fi, HDMI/DP;R$ 1.499,90
224;Placa Mãe Afox, A88-ma5, Fm2 Fm2+ Ddr4 HDMI Vga;R$ 195,00
225;Placa-Mãe Gigabyte X299 UD4 PRO, Intel LGA 2066, DDR4, RGB, Dual, M.2, USB - X299-UD4-PRO;R$ 6.153,15
226;Placa Mãe Msi B760 Tomahawk Wifi, DDR4, ATX, LGA1700;R$ 3.509,90
227;Placa Mãe Gigabyte Z790 Aero G, DDR5, ATX, LGA1700;R$ 4.949,90
228;Placa-Mãe Goline, Intel LGA 1151, DDR4, VGA - GL-H110-M2;R$ 649,00
229;Placa-mãe Asrock Z790m Pg Lightning D4, Intel, Matx, LGA 1700 - DDR4 5333 O.c, Chipset Z790, USB 3.2, Slot M.2;R$ 2.906,99
230;Placa-Mãe Gigabyte B550 Aorus Elite V2, AMD AM4, ATX, DDR4;R$ 1.680,60
231;Placa Mãe Gigabyte Md72-hb3, LGA 4189, DDR4 ECC, Chipset C621a, Dual Cpu, Para Servidor Xeon;R$ 15.704,99
232;Placa Mãe Asus Prime Mini ITX, H510t, DDR4, LGA 1200, Oem;R$ 936,00
233;Placa Mãe Arktek AM4, DDR4, VGA, HDMI, Ak-a320m, Eg;R$ 379,00
