ID;Descrição;Preço em R$
178;Memória Kingston Fury Beast para Intel XMP, 16GB, 4800MHz, DDR5, CL38, Preto - KF548C38BB-16;R$ 449,99
179;Memória ADATA Premier, 16GB, 3200MHz, DDR4 - AD4S320016G22 SGN 5271;R$ 323,92
180;Memória Kingston Fury Renegade, 16GB, 3600MHz, DDR4, CL16, Preto - KF436C16RB1/16;R$ 319,99
181;Memória XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST50;R$ 199,99
182;Memória Corsair Vengeance 32GB (2x16GB), 2666MHz, DDR4, C18, para Notebook, Preto - CMSX32GX4M2A2666C18;R$ 529,99
183;Memória Kingston Fury Impact, 32GB (2x 16GB), 4800MHz, DDR5, CL38, Para Notebook - KF548S38IBK2-32;R$ 899,99
184;Memória Corsair Value Select 16GB (2x8GB), 2133MHz, DDR4, C15, para Notebook - CMSO16GX4M2A2133C15;R$ 269,99
185;Memória Corsair Vengeance RT, RGB, 32GB (2x16GB), 4600MHz, DDR4, CL18, Preto - CMN32GX4M2Z4600C18;R$ 1.049,99
186;Memória Kingston Impact, 16GB, 3200MHz, DDR4, Para Notebook - KF432S20IB/16;R$ 272,00
187;Memória Kingston Fury Beast para Intel XMP, 32GB (2x16GB), 5600MHz, DDR5, CL40, Preto - KF556C40BBK2-32;R$ 949,99
188;Memória Kingston, 8GB, 1333MHz, DDR3, Verde - KVR1333D3N9/8G;R$ 152,62
189;Memória XPG Lancer, 32GB (2x16GB), DDR5, 5200MHz, CL38, Preto - AX5U5200C3816G-DCLABK;R$ 949,99
190;Memória Corsair Vengeance Performance, 32GB, 3200MHz, DDR4, CL22 - CMSX32GX4M1A3200C22;R$ 499,99
191;Memória Corsair Value Select 4GB, 1600MHz, DDR3L, CL11, para Notebook - CMSO4GX3M1C1600C11;R$ 119,99
192;Memória Kingston Fury Renegade, RGB, 32GB, DDR4, (2x16GB), 3600MHz, CL16, Preto - KF436C16RB12AK2/32;R$ 799,99
193;Memória Corsair Vengeance 16GB (2x8GB), 2400MHz, DDR4, C16, para Notebook, Preto - CMSX16GX4M2A2400C16;R$ 289,99
194;Memória Husky Gaming Blizzard RGB, 16GB, 3600MHz, DDR4 - CL26, Prata - HGMF026;R$ 299,99
195;Memória XPG Spectrix D50 RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-DW50;R$ 659,99
196;Memória Colorful, 8GB, 3200MHz, DDR4, CL22;R$ 104,72
197;Memória Corsair Vengeance RT, RGB, 32GB (2x16GB), 4000MHz, DDR4, CL18, Preto - CMN32GX4M2Z4000C18;R$ 849,99
198;Memória Corsair 4GB, 1333MHz, DDR3, C9, para Macbook - CMSA4GX3M1A1333C9;R$ 119,99
199;Memória Kingston Fury Impact, 32GB (2x16GB), 2666MHz, DDR4, CL16, para Notebook - KF426S16IBK2/32R;R$ 549,99
200;Memória Ram Kingston Fury Beast, 8GB, DDR4, 3600MHZ, Preto - kf436c17bb/8;R$ 240,86
201;Memória Kingston Fury Beast, RGB, 16GB (2x8GB), 3733MHz, DDR4, CL19, Preto - KF437C19BBAK2/16;R$ 429,99
202;Memória DDR4 Redragon Rage, 16GB, 3200MHz, CL16, Red, Gm-702;R$ 237,15
203;Memória Kingston 4GB, DDR4, 2666mhz, Cl19 - Kvr26n19s8/4;R$ 67,68
204;Memória Kingston Fury Beast, RGB, 16GB, 5600MHz, DDR5, CL36, Branco - KF556C36BWEA-16;R$ 539,99
205;Memória Crucial SODIMM, 16GB, 2400MHz, DDR4, Para Notebook - CT16G4SFS824A;R$ 269,00
206;Memória Kingston SODIMM, 16GB, 2666MHz, DDR4, CL19, Para Notebook, 260-PIN, 1.2V, 2RX8 - KVR26S19D8/16;R$ 316,79
207;Memória Gamer Redragon Rage 8GB, DDR4, 3200 Mhz - Vermelho;R$ 146,94
208;Memória Kingston Fury, 16GB, 2666MHz, DDR4 - KF426C16BB1/16;R$ 295,00
209;Memória Oxy, 4GB, 1333MHz, DDR3 - OXY1333D3N9/4G;R$ 56,91
210;Memória Corsair Vengeance 8GB, 2666MHz, DDR4, C18, para Notebook, Preto - CMSX8GX4M1A2666C18;R$ 149,99
211;Memória Kingston Fury Beast Edição Especial, RGB, 8GB, 3600MHz, DDR4, CL17, Branco - KF436C17BWA/8;R$ 229,99
212;Memória Kingston KVR, 4GB, DDR4, 2666MHz, CL19, para Notebook - KVR26S19S6/4;R$ 99,99
213;Memória XPG Gammix D45, 8GB, 3200MHz, DDR4, CL16, Preta - AX4U32008G16A-CBKD45;R$ 199,99
214;Memória Kingston Fury Impact, 64GB (2x32GB), 3200MHz, DDR4, CL20, para Notebook - KF432S20IBK2/64R;R$ 1.099,99
215;Memória Kingston HyperX SODIMM, 32GB, 3200MHz, DDR4, CL20, 260-PIN, Para Notebook - KF432S20LB/32;R$ 500,65
216;Memória Kingston, 4GB, 1600MHz, DDR3, CL11, para Notebook - KCP3L16SS8/4;R$ 139,99
