ID;Descrição;Preço em R$
174;Kit Upgrade Alligator Gaming, Intel Core I7 13700kf,  Placa-Mãe Gigabyte - H610m H;R$ 3.599,90
175;Kit Upgrade - Placa-Mãe H310 + Proc. I5 7400 + Mem. 8GB DDR4 + Cooler + SSD M.2 512GB;R$ 1.101,66
176;Kit Placa Mãe H110 + Processador I5 7400 + Memoria 16GB, DDR4 + Cooler + SSD 480GB;R$ 1.195,00
177;Kit Powerpc Placa-Mãe H61 + Processador I5 2400 + Memória 8GB DDR3 + Cooler + M.2 256GB;R$ 525,33
178;Kit Upgrade Processador Intel® Core™ I5 10400f + Placa Mãe Gigabyte H510m-h  + Memória 8gb Ddr4;R$ 2.051,99
179;Kit Upgrade AMD Ryzen 5 5600g + Placa Mãe A520m + RAM 8GB DDR4;R$ 2.069,91
180;Kit Upgrade - Processador AMD Ryzen 5-5600G + Placa-Mãe A320m + Memória 16GB DDR4;R$ 2.326,50
181;Kit Upgrade - Placa-Mãe H61 + Processador I3-2100 + Memoria 16GB DDR3 + Cooler;R$ 382,20
182;Kit Upgrade - Placa-Mãe H81 + Proc. I3 4130 + Mem. 8GB DDR3 + Cooler + SSD 256 M2;R$ 485,19
183;Kit Placa Mãe H61 + Processador I5 3470 + Cooler;R$ 356,30
184;Kit Upgrade, Intel Core i3-3220 + Placa Mãe H61 + Cooler Universal;R$ 344,90
185;Kit Placa Mãe H61 + Processador I3 3220 + Mem 8Gb DDR3 + Cooler+ SSD 240;R$ 466,59
186;Kit Pl Mãe H110 + Processador I3 6100 + Memória 8GB DDR4 + Cooler+ M.2 256GB;R$ 765,96
187;Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 2100 + Memória 4 GB DDR3+ Cooler + SSD 120GB;R$ 355,24
188;Kit Upgrade com Placa Mãe H61 + Processador I5 3470  + Memoria 8GB DDR3 + Cooler Rede 10 100;R$ 396,48
189;Kit Upgrade AMD Ryzen 5 4600g, Placa Mãe A320m, 32GB, DDR4, Neologic - NLI84634;R$ 2.176,54
190;Kit Pl Mãe H81 + Proc I7 4770 + Memoria 16 GB DDR3 + Cooler + SSD 480;R$ 916,02
191;Kit Upgrade - Placa- Mãe H81 + Cooler;R$ 234,71
192;Kit Upgrade - Processador Intel I5-11400F 11ª Geração + Placa-Mãe Asus H510 + Memória 8GB DDR4;R$ 2.260,00
193;Kit Upgrade - Placa-Mãe Storm-Z H110, DDR3 + Processador I7 6700 + Cooler;R$ 1.190,65
194;Kit Placa Mãe H310 + Proc. I5 8500 + Mem. 8GB Ddr4 + Cooler + M.2 256GB;R$ 1.198,60
195;Kit Powerpc Placa-Mãe H110 + Processador I3 7100 + Memória 8GB DDR4 + Cooler;R$ 698,37
196;Kit Upgrade Amd Ryzen 3 3200g, Placa Mãe A320, 8GB Ddr4, Neologic - Nli84293;R$ 1.432,14
197;Kit Upgrade Kaikora, Intel 11ª Geração I5 11400F + Asus H510;R$ 1.870,00
198;Kit Upgrade - Placa-Mãe B75 + Intel Core I5 3ª Geração + Cooler RGB + Memória 16GB DDR3;R$ 611,80
199;Kit Upgrade Kaikora, Processador I5 10400F + Memória 16GB DDR4 Dual-channel;R$ 1.898,00
200;Kit Placa Mãe H81 + Processador I3 4130 + Memoria 4GB DDR3 + Cooler;R$ 330,15
201;Kit Placa Mãe H81 + Processador I7 4770 + Cooler;R$ 599,13
202;Kit Upgrade Powerpc: Placa Mãe H81 + Processador I5 4570s + Memória 8GB DDR3;R$ 443,15
203;Kit Upgrade - Placa-Mãe Storm-Z H81 + Processador I5 4590 + Cooler;R$ 439,11
204;Kit Upgrade Powerpc com Placa Mãe H61 + Processador Intel I3 2100 + Cooler;R$ 226,35
205;Kit Upgrade Deutel Intel I5 2400 + Placa H61 1155;R$ 325,80
206;Kit Intel Upgrade com Placa-Mãe B75 + Processador I7 3770 3.9GHz + 16GB DDR3;R$ 885,00
207;Kit Upgrade AMD Ryzen 3 3200g, Placa Mãe A320m, 32GB, DDR4, Neologic - NLI84640;R$ 2.006,63
208;Kit Upgrade Neologic - Nli84722, AMD Ryzen 5 7600, Placa Mãe X670, 16GB DDR5;R$ 5.825,68
209;Kit Upgrade - Placa-Mãe H61 + Processador I5 3470 + Memória 16GB DDR3 + Cooler;R$ 486,95
210;Kit Upgrade Kaikora - Placa-Mãe B75 + Intel Core I5 3ª Geração + Memória 8GB DDR3;R$ 522,50
211;Kit Placa Mãe H81 + Processador I5 4570  + Memória 16GB DDR3 + Cooler+ M2 512 - Powerpc;R$ 745,95
212;Kit Placa Mãe H61 + Processador I3 3220 + Memoria 16GB DDR3 + Cooler;R$ 411,28
213;Kit Upgrade Amd Ryzen 3 3200g, Placa Mãe A320, 16GB Ddr4, Neologic - Nli84294;R$ 1.569,70
